folio,line_id,transcription
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0000.png,L
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0001.png,L
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0002.png,L<space>PTS<space>t<space>a<space>Te<space>vds<space>e<space>esdota<space>t<space>t<space>ae<space>Ten<space>p<space>daa<space>de<space>de<space>tr<space>edeeg<space>cee<space>de<space>se<space>Tet<space>coes
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0003.png,LA<space>teetee<space>ea<space>ece<space>dee<space>de<space>Tets<space>e<space>Le<space><space>C<space>CTsLee<space>e
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0004.png,LeCLa<space>Cve<space>ce<space>vll<space><space>Toetn.<space>Tededuu<space>eti<space>c<space>da<space>petoo<space>de<space>te<space>se<space>TT<space>eeTLe<space>Seede<space>de<space>ex
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0005.png,TeecSes<space>tsu<space>Seenteco<space>te<space>dec<space>p<space>ceste<space>beeevuteu<space>ael<space>Sa<space>ce<space>ce<space>T<space>de<space>l<space>deceT
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0006.png,Lde<space>CeaaAaceLt<space>deattdTdon<space>eee<space>Taa<space>Belet<space>ceTTCee<space>Bet<space>Teate<space>er<space>TdIe
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0007.png,B<space>a<space>Ceee<space>s<space>aBe<space>Bee<space>s<space>te<space>ce<space>ttes<space>e<space>Cp<space>ou<space>ve<space>s<space>ia<space>te<space>ce<space>l<space>se<space>t<space>TeCe
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0008.png,TTee<space>de<space>et<space>de<space>Bees<space>Tu<space>c<space>Le<space>ee<space>TcCcLe<space>en<space>e<space>L<space>T<space>s<space>sec<space>sa<space>t.<space>Gce<space>ecx<space>s<space>te<space>Gu
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0009.png,La<space>det<space>eut<space>ea<space>ce<space><space>co<space>T<space>sa<space>tn<space>Tutcse<space>atseTV<space>don<space>de<space>L<space>set<space>s<space>eeceta<space>Cst<space>dse
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0010.png,Ba<space>ce<space>e<space>Lea<space>Bet<space>T<space>Buedede<space>t<space>Ct<space>sey<space>et<space>e<space>La<space>ry<space>e<space>L<space>ee<space>a<space>Le<space>Ee<space>ure<space>ason<space>e<space>t<space>ex<space>deT<space>cd
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0011.png,Ldrasd<space>u<space>ltate<space>de<space>C<space>tetde<space>ce<space>eeLe<space>Te<space>eve<space>u<space>e<space>ce<space>seld<space>Ec<space>t<space>s<space>eee<space>e<space>Getee.
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0012.png,EtTesa<space>etTorteSBe<space>dese<space>Ala<space>Ta<space>ee<space>C<space>vete<space>Te
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0013.png,L<space>de<space>TCeo<space>Beatcde<space>se<space>a<space>ce<space>se<space>et<space>ce<space>Tec.<space>Et<space>esi<space>ede<space>aecEe<space>aer
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0014.png,SSeuaeeC.<space>Le<space>TC<space>Gere<space>aut<space>ee<space>a<space>C<space>e<space>le<space>Lee<space>Tes<space>ele<space>su<space>e<space>tcce<space>et
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0015.png,Luaeed<space>Te<space>eaL<space>T<space>Tee<space>TeT<space>TusT<space><space>BLCde.<space>Pce
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0016.png,eL<space>etedeeas<space>deste<space>s<space>a<space>sn<space>eda<space>tececTvtse<space>eTTtGc
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0017.png,Sded<space>cevLaa<space>seTe<space>e<space>taa<space>Lit<space>a<space>tu<space><space>teT<space>deae<space>st<space>Bt<space>s<space>A<space>e<space>tce<space>
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0018.png,Es<space>te<space>eetbdata<space>tTef<space>PS<space>eto<space>TtneecCaedseec<space>cie
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0019.png,Sye<space>Ttscld<space><space>ve<space>T<space>Teeet<space>sea<space>s<space>eco.
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0020.png,"Da<space>tTe<space>ecert<space>S<space>e<space>PTt.,<space>ee<space>ta<space>TrxTu<space>P<space>ce<space>cLt."
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0021.png,TeCtT<space>s<space><space>tseAeGCecBte<space>cTons<space>de<space>Ce<space>Leron
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0022.png,Le<space>tl<space>tce<space>A<space>c<space>ece<space>tsetdT<space>teec<space>deeo<space>eel<space>sl.
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0023.png,LecteeTTSt<space>LTCboytT.
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0024.png,SSalB<space>Tan<space>da<space>reul<space>ace<space>e<space>LTTse<space><space>l<space>Ce<space>ter<space>deececssc
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0025.png,Sx<space>Fan<space>Se<space>pt<space>L<space>Tcs<space>Te<space>de<space>E<space>ce.<space>Tdore<space>e<space>T<space>eate<space>ree.
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0026.png,S<space>cevTeel<space>ae<space>Tsetc<space>at<space>Beeevesu<space>tet<space>ee<space>CtcecBeet<space>eteoe<space>L.
AM_20_b_I_fol.-15-0006v-hq,/Users/cassiebastress/Documents/DDMAL/line-seg-eval/experiments/pylaia_baseline/pylaia_himanis/../../../outputs/pylaia_baseline/crops/AM_20_b_I_fol.-15-0006v-hq/line_0027.png,E<space>Te<space>t<space>eT<space>Tdec<space>Tece<space>ced<space><space>etLl<space>eTe<space>etee<space>e<space>te<space>et<space>Cen<space>tetee
